persona,expected,Sonnet,Opus,5.4-mini,5.4 (full),GPT-5.5,Grok,Gemini,matches_of_7
adrian,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
agata,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
ania,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,7
anna-sim,secure,secure,secure,secure,secure,secure,secure,secure,7
bartek,anxious_preoccupied,dismissive_avoidant,fearful_avoidant,anxious_preoccupied,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,1
dominika,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
ewa,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,7
filip,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,7
gabriela,anxious_preoccupied,secure,secure,anxious_preoccupied,anxious_preoccupied,secure,anxious_preoccupied,anxious_preoccupied,4
hubert,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
jakub,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
jola,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,7
kamil,fearful_avoidant,dismissive_avoidant,fearful_avoidant,fearful_avoidant,dismissive_avoidant,fearful_avoidant,fearful_avoidant,dismissive_avoidant,4
kasia,secure,secure,secure,secure,secure,secure,secure,secure,7
klaudia,anxious_preoccupied,secure,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,6
kuba,secure,secure,secure,secure,secure,secure,secure,secure,7
lukasz,secure,secure,secure,secure,secure,secure,secure,anxious_preoccupied,6
magda,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
marek,fearful_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,0
michal-k,anxious_preoccupied,fearful_avoidant,fearful_avoidant,anxious_preoccupied,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,1
michal-sim,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,7
natalia,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,7
ola,secure,secure,secure,secure,secure,secure,secure,secure,7
pawel,anxious_preoccupied,anxious_preoccupied,fearful_avoidant,anxious_preoccupied,anxious_preoccupied,anxious_preoccupied,fearful_avoidant,anxious_preoccupied,5
piotr,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,7
radek,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,7
sara,secure,secure,secure,secure,secure,secure,secure,secure,7
tomek,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,dismissive_avoidant,7
weronika,secure,secure,secure,secure,secure,secure,secure,secure,7
zuzia,fearful_avoidant,dismissive_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,fearful_avoidant,6
